Release date,Last Updated,CVE Number,CVE Number (Link),CVE Title,Impact,Max Severity,Tag,revision
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43591,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43591,Azure Command Line Integration (CLI) Elevation of Privilege Vulnerability,Elevation of Privilege,Important,Azure CLI,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43590,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43590,Visual C++ Redistributable Installer Elevation of Privilege Vulnerability,Elevation of Privilege,Important,Visual C++ Redistributable Installer,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.12024年10月9日Updated FAQ information. This is an informational change only.\n1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43589,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43589,Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability,Remote Code Execution,Important,Windows Routing and Remote Access Service (RRAS),"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43585,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43585,Code Integrity Guard Security Feature Bypass Vulnerability,Security Feature Bypass,Important,Code Integrity Guard,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43584,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43584,Windows Scripting Engine Security Feature Bypass Vulnerability,Security Feature Bypass,Important,Windows Scripting,"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43583,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43583,Winlogon Elevation of Privilege Vulnerability,Elevation of Privilege,Important,Winlogon,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43582,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43582,Remote Desktop Protocol Server Remote Code Execution Vulnerability,Remote Code Execution,Critical,Windows Remote Desktop,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.12024年10月11日Updated FAQ information. This is an informational change only.\n1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43581,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43581,Microsoft OpenSSH for Windows Remote Code Execution Vulnerability,Remote Code Execution,Important,OpenSSH for Windows,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43576,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43576,Microsoft Office Remote Code Execution Vulnerability,Remote Code Execution,Important,Microsoft Office,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43575,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43575,Windows Hyper-V Denial of Service Vulnerability,Denial of Service,Important,Role: Windows Hyper-V,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43574,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43574,Microsoft Speech Application Programming Interface (SAPI) Remote Code Execution Vulnerability,Remote Code Execution,Important,Microsoft Windows Speech,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43573,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43573,Windows MSHTML Platform Spoofing Vulnerability,Spoofing,Moderate,Windows MSHTML Platform,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43572,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43572,Microsoft Management Console Remote Code Execution Vulnerability,Remote Code Execution,Important,Microsoft Management Console,"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43571,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43571,Sudo for Windows Spoofing Vulnerability,Spoofing,Important,Sudo for Windows,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43570,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43570,Windows Kernel Elevation of Privilege Vulnerability,Elevation of Privilege,Important,Windows Kernel,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43567,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43567,Windows Hyper-V Denial of Service Vulnerability,Denial of Service,Important,Role: Windows Hyper-V,"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43565,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43565,Windows Network Address Translation (NAT) Denial of Service Vulnerability,Denial of Service,Important,Windows Network Address Translation (NAT),"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43564,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43564,Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability,Remote Code Execution,Important,Windows Routing and Remote Access Service (RRAS),"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43563,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43563,Windows Ancillary Function Driver for WinSock Elevation of Privilege Vulnerability,Elevation of Privilege,Important,Windows Ancillary Function Driver for WinSock,"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43562,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43562,Windows Network Address Translation (NAT) Denial of Service Vulnerability,Denial of Service,Important,Windows Network Address Translation (NAT),"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43561,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43561,Windows Mobile Broadband Driver Denial of Service Vulnerability,Denial of Service,Important,Windows Mobile Broadband,"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43560,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43560,Microsoft Windows Storage Port Driver Elevation of Privilege Vulnerability,Elevation of Privilege,Important,Windows Storage Port Driver,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43559,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43559,Windows Mobile Broadband Driver Denial of Service Vulnerability,Denial of Service,Important,Windows Mobile Broadband,"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43558,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43558,Windows Mobile Broadband Driver Denial of Service Vulnerability,Denial of Service,Important,Windows Mobile Broadband,"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43557,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43557,Windows Mobile Broadband Driver Denial of Service Vulnerability,Denial of Service,Important,Windows Mobile Broadband,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43556,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43556,Windows Graphics Component Elevation of Privilege Vulnerability,Elevation of Privilege,Important,Microsoft Graphics Component,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43555,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43555,Windows Mobile Broadband Driver Denial of Service Vulnerability,Denial of Service,Important,Windows Mobile Broadband,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43554,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43554,Windows Kernel-Mode Driver Information Disclosure Vulnerability,Information Disclosure,Important,Windows Kernel-Mode Drivers,"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43553,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43553,NT OS Kernel Elevation of Privilege Vulnerability,Elevation of Privilege,Important,Windows NT OS Kernel,"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43552,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43552,Windows Shell Remote Code Execution Vulnerability,Remote Code Execution,Important,Windows Shell,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43551,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43551,Windows Storage Elevation of Privilege Vulnerability,Elevation of Privilege,Important,Windows Storage,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43550,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43550,Windows Secure Channel Spoofing Vulnerability,Spoofing,Important,Windows Secure Channel,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43549,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43549,Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability,Remote Code Execution,Important,Windows Routing and Remote Access Service (RRAS),"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43547,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43547,Windows Kerberos Information Disclosure Vulnerability,Information Disclosure,Important,Windows Kerberos,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43546,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43546,Windows Cryptographic Information Disclosure Vulnerability,Information Disclosure,Important,Windows Cryptographic Services,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43545,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43545,Windows Online Certificate Status Protocol (OCSP) Server Denial of Service Vulnerability,Denial of Service,Important,Windows Online Certificate Status Protocol (OCSP),"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43544,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43544,Microsoft Simple Certificate Enrollment Protocol Denial of Service Vulnerability,Denial of Service,Important,Microsoft Simple Certificate Enrollment Protocol,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43543,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43543,Windows Mobile Broadband Driver Remote Code Execution Vulnerability,Remote Code Execution,Important,Windows Mobile Broadband,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43542,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43542,Windows Mobile Broadband Driver Denial of Service Vulnerability,Denial of Service,Important,Windows Mobile Broadband,"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43541,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43541,Microsoft Simple Certificate Enrollment Protocol Denial of Service Vulnerability,Denial of Service,Important,Microsoft Simple Certificate Enrollment Protocol,"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43540,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43540,Windows Mobile Broadband Driver Denial of Service Vulnerability,Denial of Service,Important,Windows Mobile Broadband,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43538,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43538,Windows Mobile Broadband Driver Denial of Service Vulnerability,Denial of Service,Important,Windows Mobile Broadband,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43537,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43537,Windows Mobile Broadband Driver Denial of Service Vulnerability,Denial of Service,Important,Windows Mobile Broadband,"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43536,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43536,Windows Mobile Broadband Driver Remote Code Execution Vulnerability,Remote Code Execution,Important,Windows Mobile Broadband,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43535,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43535,Windows Kernel-Mode Driver Elevation of Privilege Vulnerability,Elevation of Privilege,Important,Windows Kernel-Mode Drivers,"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43534,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43534,Windows Graphics Component Information Disclosure Vulnerability,Information Disclosure,Important,Microsoft Graphics Component,"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43533,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43533,Remote Desktop Client Remote Code Execution Vulnerability,Remote Code Execution,Important,Remote Desktop Client,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43532,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43532,Remote Registry Service Elevation of Privilege Vulnerability,Elevation of Privilege,Important,RPC Endpoint Mapper Service,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43529,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43529,Windows Print Spooler Elevation of Privilege Vulnerability,Elevation of Privilege,Important,Windows Print Spooler Components,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.12024年10月11日Updated acknowledgment. This is an informational change only.\n1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43528,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43528,Windows Secure Kernel Mode Elevation of Privilege Vulnerability,Elevation of Privilege,Important,Windows Secure Kernel Mode,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43527,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43527,Windows Kernel Elevation of Privilege Vulnerability,Elevation of Privilege,Important,Windows Kernel,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43526,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43526,Windows Mobile Broadband Driver Remote Code Execution Vulnerability,Remote Code Execution,Important,Windows Mobile Broadband,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43525,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43525,Windows Mobile Broadband Driver Remote Code Execution Vulnerability,Remote Code Execution,Important,Windows Mobile Broadband,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43524,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43524,Windows Mobile Broadband Driver Remote Code Execution Vulnerability,Remote Code Execution,Important,Windows Mobile Broadband,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43523,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43523,Windows Mobile Broadband Driver Remote Code Execution Vulnerability,Remote Code Execution,Important,Windows Mobile Broadband,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43522,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43522,Windows Local Security Authority (LSA) Elevation of Privilege Vulnerability,Elevation of Privilege,Important,Windows Local Security Authority (LSA),"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43521,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43521,Windows Hyper-V Denial of Service Vulnerability,Denial of Service,Important,Role: Windows Hyper-V,"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43520,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43520,Windows Kernel Denial of Service Vulnerability,Denial of Service,Important,Windows Kernel,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43519,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43519,Microsoft WDAC OLE DB provider for SQL Server Remote Code Execution Vulnerability,Remote Code Execution,Important,Microsoft WDAC OLE DB provider for SQL,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43518,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43518,Windows Telephony Server Remote Code Execution Vulnerability,Remote Code Execution,Important,Windows Telephony Server,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43517,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43517,Microsoft ActiveX Data Objects Remote Code Execution Vulnerability,Remote Code Execution,Important,Microsoft ActiveX,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43516,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43516,Windows Secure Kernel Mode Elevation of Privilege Vulnerability,Elevation of Privilege,Important,Windows Secure Kernel Mode,"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43515,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43515,Internet Small Computer Systems Interface (iSCSI) Denial of Service Vulnerability,Denial of Service,Important,Internet Small Computer Systems Interface (iSCSI),"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43514,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43514,Windows Resilient File System (ReFS) Elevation of Privilege Vulnerability,Elevation of Privilege,Important,Windows NTFS,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43513,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43513,BitLocker Security Feature Bypass Vulnerability,Security Feature Bypass,Important,Windows BitLocker,"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43512,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43512,Windows Standards-Based Storage Management Service Denial of Service Vulnerability,Denial of Service,Important,Windows Standards-Based Storage Management Service,"{'versionrevisionDatedescription1.02024年10月8日Information published.', 'versionrevisionDatedescription'}"
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43511,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43511,Windows Kernel Elevation of Privilege Vulnerability,Elevation of Privilege,Important,Windows Kernel,"{'versionrevisionDatedescription', 'versionrevisionDatedescription1.02024年10月8日Information published.'}"
