Release date,Last Updated,CVE Number,CVE Number (Link),CVE Title,Impact,Max Severity,Tag
"Aug 22, 2024","Aug 22, 2024",CVE-2024-8033,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-8033,Chromium: CVE-2024-8033 Inappropriate implementation in WebApp Installs,,,Microsoft Edge (Chromium-based)
"Aug 22, 2024","Aug 22, 2024",CVE-2024-7981,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7981,Chromium: CVE-2024-7981 Inappropriate implementation in Views,,,Microsoft Edge (Chromium-based)
"Aug 22, 2024","Aug 22, 2024",CVE-2024-7980,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7980,Chromium: CVE-2024-7980 Insufficient data validation in Installer,,,Microsoft Edge (Chromium-based)
"Aug 22, 2024","Aug 22, 2024",CVE-2024-7979,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7979,Chromium: CVE-2024-7979 Insufficient data validation in Installer,,,Microsoft Edge (Chromium-based)
"Aug 22, 2024","Aug 22, 2024",CVE-2024-7978,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7978,Chromium: CVE-2024-7978 Insufficient policy enforcement in Data Transfer,,,Microsoft Edge (Chromium-based)
"Aug 22, 2024","Aug 22, 2024",CVE-2024-7977,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7977,Chromium: CVE-2024-7977 Insufficient data validation in Installer,,,Microsoft Edge (Chromium-based)
"Aug 22, 2024","Aug 22, 2024",CVE-2024-7976,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7976,Chromium: CVE-2024-7976 Inappropriate implementation in FedCM,,,Microsoft Edge (Chromium-based)
"Aug 22, 2024","Aug 22, 2024",CVE-2024-7975,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7975,Chromium: CVE-2024-7975 Inappropriate implementation in Permissions,,,Microsoft Edge (Chromium-based)
"Aug 22, 2024","Aug 22, 2024",CVE-2024-7974,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7974,Chromium: CVE-2024-7974 Insufficient data validation in V8 API,,,Microsoft Edge (Chromium-based)
"Aug 22, 2024","Aug 22, 2024",CVE-2024-7973,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7973,Chromium: CVE-2024-7973 Heap buffer overflow in PDFium,,,Microsoft Edge (Chromium-based)
"Aug 22, 2024","Aug 22, 2024",CVE-2024-7972,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7972,Chromium: CVE-2024-7972 Inappropriate implementation in V8,,,Microsoft Edge (Chromium-based)
"Aug 22, 2024","Aug 22, 2024",CVE-2024-7971,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7971,Chromium: CVE-2024-7971 Type confusion in V8,,,Microsoft Edge (Chromium-based)
"Sep 12, 2024","Sep 12, 2024",CVE-2024-7970,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7970,Chromium: CVE-2024-7970 Out of bounds write in V8,,,Microsoft Edge (Chromium-based)
"Aug 22, 2024","Aug 22, 2024",CVE-2024-7969,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7969,Chromium: CVE-2024-7969 Type Confusion in V8,,,Microsoft Edge (Chromium-based)
"Aug 22, 2024","Aug 22, 2024",CVE-2024-7968,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7968,Chromium: CVE-2024-7968 Use after free in Autofill,,,Microsoft Edge (Chromium-based)
"Aug 22, 2024","Aug 22, 2024",CVE-2024-7967,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7967,Chromium: CVE-2024-7967 Heap buffer overflow in Fonts,,,Microsoft Edge (Chromium-based)
"Aug 22, 2024","Aug 22, 2024",CVE-2024-7966,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7966,Chromium: CVE-2024-7966 Out of bounds memory access in Skia,,,Microsoft Edge (Chromium-based)
"Aug 22, 2024","Aug 22, 2024",CVE-2024-7965,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7965,Chromium: CVE-2024-7965 Inappropriate implementation in V8,,,Microsoft Edge (Chromium-based)
"Aug 22, 2024","Aug 22, 2024",CVE-2024-7964,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7964,Chromium: CVE-2024-7964 Use after free in Passwords,,,Microsoft Edge (Chromium-based)
"Aug 8, 2024","Aug 8, 2024",CVE-2024-7550,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7550,Chromium: CVE-2024-7532 Out of bounds memory access in ANGLE,,,Microsoft Edge (Chromium-based)
"Aug 8, 2024","Aug 8, 2024",CVE-2024-7536,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7536,Chromium: CVE-2024-7550 Type Confusion in V8,,,Microsoft Edge (Chromium-based)
"Aug 8, 2024","Aug 8, 2024",CVE-2024-7535,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7535,Chromium: CVE-2024-7536 Use after free in WebAudio,,,Microsoft Edge (Chromium-based)
"Aug 8, 2024","Aug 8, 2024",CVE-2024-7534,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7534,Chromium: CVE-2024-7535 Inappropriate implementation in V8,,,Microsoft Edge (Chromium-based)
"Aug 8, 2024","Aug 8, 2024",CVE-2024-7533,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7533,Chromium: CVE-2024-7534 Heap buffer overflow in Layout,,,Microsoft Edge (Chromium-based)
"Aug 8, 2024","Aug 8, 2024",CVE-2024-7532,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7532,Chromium: CVE-2024-7533 Use after free in Sharing,,,Microsoft Edge (Chromium-based)
"Aug 1, 2024","Aug 1, 2024",CVE-2024-7256,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7256,Chromium: CVE-2024-7256 Insufficient data validation in Dawn,,,Microsoft Edge (Chromium-based)
"Aug 1, 2024","Aug 1, 2024",CVE-2024-7255,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7255,Chromium: CVE-2024-7255 Out of bounds read in WebTransport,,,Microsoft Edge (Chromium-based)
"Oct 4, 2024","Oct 4, 2024",CVE-2024-7025,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7025,Chromium: CVE-2024-7025 Integer overflow in Layout,,,Microsoft Edge (Chromium-based)
"Jul 26, 2024","Jul 26, 2024",CVE-2024-7005,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7005,Chromium: CVE-2024-7005 Insufficient validation of untrusted input in Safe Browsing,,,Microsoft Edge (Chromium-based)
"Jul 26, 2024","Jul 26, 2024",CVE-2024-7004,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7004,Chromium: CVE-2024-7004 Insufficient validation of untrusted input in Safe Browsing,,,Microsoft Edge (Chromium-based)
"Jul 26, 2024","Jul 26, 2024",CVE-2024-7003,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7003,Chromium: CVE-2024-7003 Inappropriate implementation in FedCM,,,Microsoft Edge (Chromium-based)
"Jul 26, 2024","Jul 26, 2024",CVE-2024-7001,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7001,Chromium: CVE-2024-7001 Inappropriate implementation in HTML,,,Microsoft Edge (Chromium-based)
"Jul 26, 2024","Jul 26, 2024",CVE-2024-7000,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-7000,Chromium: CVE-2024-7000 Use after free in CSS,,,Microsoft Edge (Chromium-based)
"Jul 26, 2024","Jul 26, 2024",CVE-2024-6999,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6999,Chromium: CVE-2024-6999 Inappropriate implementation in FedCM,,,Microsoft Edge (Chromium-based)
"Jul 26, 2024","Jul 26, 2024",CVE-2024-6998,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6998,Chromium: CVE-2024-6998 Use after free in User Education,,,Microsoft Edge (Chromium-based)
"Jul 26, 2024","Jul 26, 2024",CVE-2024-6997,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6997,Chromium: CVE-2024-6997 Use after free in Tabs,,,Microsoft Edge (Chromium-based)
"Jul 26, 2024","Jul 26, 2024",CVE-2024-6996,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6996,Chromium: CVE-2024-6996 Race in Frames,,,Microsoft Edge (Chromium-based)
"Jul 26, 2024","Jul 26, 2024",CVE-2024-6995,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6995,Chromium: CVE-2024-6995 Inappropriate implementation in Fullscreen,,,Microsoft Edge (Chromium-based)
"Jul 26, 2024","Jul 26, 2024",CVE-2024-6994,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6994,Chromium: CVE-2024-6994 Heap buffer overflow in Layout,,,Microsoft Edge (Chromium-based)
"Jul 26, 2024","Jul 26, 2024",CVE-2024-6991,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6991,Chromium: CVE-2024-6991 Use after free in Dawn,,,Microsoft Edge (Chromium-based)
"Aug 1, 2024","Aug 1, 2024",CVE-2024-6990,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6990,Chromium: CVE-2024-6990 Uninitialized Use in Dawn,,,Microsoft Edge (Chromium-based)
"Jul 26, 2024","Jul 26, 2024",CVE-2024-6989,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6989,Chromium: CVE-2024-6989 Use after free in Loader,,,Microsoft Edge (Chromium-based)
"Jul 26, 2024","Jul 26, 2024",CVE-2024-6988,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6988,Chromium: CVE-2024-6988 Use after free in Downloads,,,Microsoft Edge (Chromium-based)
"Jul 19, 2024","Jul 19, 2024",CVE-2024-6779,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6779,Chromium: CVE-2024-6779 Out of bounds memory access in V8,,,Microsoft Edge (Chromium-based)
"Jul 19, 2024","Jul 19, 2024",CVE-2024-6778,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6778,Chromium: CVE-2024-6778 Race in DevTools,,,Microsoft Edge (Chromium-based)
"Jul 19, 2024","Jul 19, 2024",CVE-2024-6777,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6777,Chromium: CVE-2024-6777 Use after free in Navigation,,,Microsoft Edge (Chromium-based)
"Jul 19, 2024","Jul 19, 2024",CVE-2024-6776,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6776,Chromium: CVE-2024-6776 Use after free in Audio,,,Microsoft Edge (Chromium-based)
"Jul 19, 2024","Jul 19, 2024",CVE-2024-6775,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6775,Chromium: CVE-2024-6775 Use after free in Media Stream,,,Microsoft Edge (Chromium-based)
"Jul 19, 2024","Jul 19, 2024",CVE-2024-6774,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6774,Chromium: CVE-2024-6774 Use after free in Screen Capture,,,Microsoft Edge (Chromium-based)
"Jul 19, 2024","Jul 19, 2024",CVE-2024-6773,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6773,Chromium: CVE-2024-6773 Type Confusion in V8,,,Microsoft Edge (Chromium-based)
"Jul 19, 2024","Jul 19, 2024",CVE-2024-6772,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6772,Chromium: CVE-2024-6772 Inappropriate implementation in V8,,,Microsoft Edge (Chromium-based)
"Jul 11, 2024","Sep 19, 2024",CVE-2024-6387,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6387,RedHat Openssh: CVE-2024-6387  Remote Code Execution Due To A Race Condition In Signal Handling,,,Open Source Software
"Jun 27, 2024","Jun 27, 2024",CVE-2024-6293,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6293,Chromium: CVE-2024-6293 Use after free in Dawn,,,Microsoft Edge (Chromium-based)
"Jun 27, 2024","Jun 27, 2024",CVE-2024-6292,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6292,Chromium: CVE-2024-6292 Use after free in Dawn,,,Microsoft Edge (Chromium-based)
"Jun 27, 2024","Jun 27, 2024",CVE-2024-6291,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6291,Chromium: CVE-2024-6291 Use after free in Swiftshader,,,Microsoft Edge (Chromium-based)
"Jun 27, 2024","Jun 27, 2024",CVE-2024-6290,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6290,Chromium: CVE-2024-6290 Use after free in Dawn,,,Microsoft Edge (Chromium-based)
"Oct 8, 2024","Oct 8, 2024",CVE-2024-6197,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6197,Open Source Curl Remote Code Execution Vulnerability,Remote Code Execution,Important,Windows cURL Implementation
"Jun 21, 2024","Jun 21, 2024",CVE-2024-6103,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6103,Chromium: CVE-2024-6103: Use after free in Dawn,,,Microsoft Edge (Chromium-based)
"Jun 21, 2024","Jun 21, 2024",CVE-2024-6102,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6102,Chromium: CVE-2024-6102: Out of bounds memory access in Dawn,,,Microsoft Edge (Chromium-based)
"Jun 21, 2024","Jun 21, 2024",CVE-2024-6101,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6101,Chromium: CVE-2024-6101: Inappropriate implementation in WebAssembly,,,Microsoft Edge (Chromium-based)
"Jun 21, 2024","Jun 21, 2024",CVE-2024-6100,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-6100,Chromium: CVE-2024-6100 Type Confusion in V8,,,Microsoft Edge (Chromium-based)
"Jun 13, 2024","Jun 13, 2024",CVE-2024-5847,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5847,Chromium: CVE-2024-5847 Use after free in PDFium,,,Microsoft Edge (Chromium-based)
"Jun 13, 2024","Jun 13, 2024",CVE-2024-5846,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5846,Chromium: CVE-2024-5846 Use after free in PDFium,,,Microsoft Edge (Chromium-based)
"Jun 13, 2024","Jun 13, 2024",CVE-2024-5845,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5845,Chromium: CVE-2024-5845 Use after free in Audio,,,Microsoft Edge (Chromium-based)
"Jun 13, 2024","Jun 13, 2024",CVE-2024-5844,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5844,Chromium: CVE-2024-5844 Heap buffer overflow in Tab Strip,,,Microsoft Edge (Chromium-based)
"Jun 13, 2024","Jun 13, 2024",CVE-2024-5843,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5843,Chromium: CVE-2024-5843 Inappropriate implementation in Downloads,,,Microsoft Edge (Chromium-based)
"Jun 13, 2024","Jun 13, 2024",CVE-2024-5842,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5842,Chromium: CVE-2024-5842 Use after free in Browser UI,,,Microsoft Edge (Chromium-based)
"Jun 13, 2024","Jun 13, 2024",CVE-2024-5841,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5841,Chromium: CVE-2024-5841 Use after free in V8,,,Microsoft Edge (Chromium-based)
"Jun 13, 2024","Jun 13, 2024",CVE-2024-5840,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5840,Chromium: CVE-2024-5840 Policy Bypass in CORS,,,Microsoft Edge (Chromium-based)
"Jun 13, 2024","Jun 13, 2024",CVE-2024-5839,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5839,Chromium: CVE-2024-5839 Inappropriate Implementation in Memory Allocator,,,Microsoft Edge (Chromium-based)
"Jun 13, 2024","Jun 13, 2024",CVE-2024-5838,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5838,Chromium: CVE-2024-5838 Type Confusion in V8,,,Microsoft Edge (Chromium-based)
"Jun 13, 2024","Jun 13, 2024",CVE-2024-5837,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5837,Chromium: CVE-2024-5837 Type Confusion in V8,,,Microsoft Edge (Chromium-based)
"Jun 13, 2024","Jun 13, 2024",CVE-2024-5836,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5836,Chromium: CVE-2024-5836 Inappropriate Implementation in DevTools,,,Microsoft Edge (Chromium-based)
"Jun 13, 2024","Jun 13, 2024",CVE-2024-5835,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5835,Chromium: CVE-2024-5835 Heap buffer overflow in Tab Groups,,,Microsoft Edge (Chromium-based)
"Jun 13, 2024","Jun 13, 2024",CVE-2024-5834,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5834,Chromium: CVE-2024-5834 Inappropriate implementation in Dawn,,,Microsoft Edge (Chromium-based)
"Jun 13, 2024","Jun 13, 2024",CVE-2024-5833,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5833,Chromium: CVE-2024-5833 Type Confusion in V8,,,Microsoft Edge (Chromium-based)
"Jun 13, 2024","Jun 13, 2024",CVE-2024-5832,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5832,Chromium: CVE-2024-5832 Use after free in Dawn,,,Microsoft Edge (Chromium-based)
"Jun 13, 2024","Jun 13, 2024",CVE-2024-5831,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5831,Chromium: CVE-2024-5831 Use after free in Dawn,,,Microsoft Edge (Chromium-based)
"Jun 13, 2024","Jun 13, 2024",CVE-2024-5830,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5830,Chromium: CVE-2024-5830 Type Confusion in V8,,,Microsoft Edge (Chromium-based)
"Jun 4, 2024","Jun 4, 2024",CVE-2024-5499,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5499,Chromium: CVE-2024-5499 Out of bounds write in Streams API,,,Microsoft Edge (Chromium-based)
"Jun 4, 2024","Jun 4, 2024",CVE-2024-5498,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5498,Chromium: CVE-2024-5498 Use after free in Presentation API,,,Microsoft Edge (Chromium-based)
"Jun 4, 2024","Jun 4, 2024",CVE-2024-5497,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5497,Chromium: CVE-2024-5497 Out of bounds memory access in Keyboard Inputs,,,Microsoft Edge (Chromium-based)
"Jun 4, 2024","Jun 4, 2024",CVE-2024-5496,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5496,Chromium: CVE-2024-5496 Use after free in Media Session,,,Microsoft Edge (Chromium-based)
"Jun 4, 2024","Jun 4, 2024",CVE-2024-5495,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5495,Chromium: CVE-2024-5495 Use after free in Dawn,,,Microsoft Edge (Chromium-based)
"Jun 4, 2024","Jun 4, 2024",CVE-2024-5494,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5494,Chromium: CVE-2024-5494 Use after free in Dawn,,,Microsoft Edge (Chromium-based)
"Jun 4, 2024","Jun 4, 2024",CVE-2024-5493,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5493,Chromium: CVE-2024-5493 Heap buffer overflow in WebRTC,,,Microsoft Edge (Chromium-based)
"May 25, 2024","May 25, 2024",CVE-2024-5274,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5274,Chromium: CVE-2024-5274 Type Confusion in V8,,,Microsoft Edge (Chromium-based)
"May 25, 2024","May 25, 2024",CVE-2024-5160,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5160,Chromium: CVE-2024-5160 Heap buffer overflow in Dawn,,,Microsoft Edge (Chromium-based)
"May 25, 2024","May 25, 2024",CVE-2024-5159,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5159,Chromium: CVE-2024-5159 Heap buffer overflow in ANGLE,,,Microsoft Edge (Chromium-based)
"May 25, 2024","May 25, 2024",CVE-2024-5158,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5158,Chromium: CVE-2024-5158 Type Confusion in V8,,,Microsoft Edge (Chromium-based)
"May 25, 2024","May 25, 2024",CVE-2024-5157,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-5157,Chromium: CVE-2024-5157 Use after free in Scheduling,,,Microsoft Edge (Chromium-based)
"May 16, 2024","May 16, 2024",CVE-2024-4950,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-4950,Chromium: CVE-2024-4950 Inappropriate implementation in Downloads,,,Microsoft Edge (Chromium-based)
"May 16, 2024","May 16, 2024",CVE-2024-4949,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-4949,Chromium: CVE-2024-4949 Use after free in V8,,,Microsoft Edge (Chromium-based)
"May 16, 2024","May 16, 2024",CVE-2024-4948,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-4948,Chromium: CVE-2024-4948 Use after free in Dawn,,,Microsoft Edge (Chromium-based)
"May 16, 2024","May 16, 2024",CVE-2024-4947,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-4947,Chromium: CVE-2024-4947 Type Confusion in V8,,,Microsoft Edge (Chromium-based)
"May 14, 2024","May 14, 2024",CVE-2024-4761,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-4761,Chromium: CVE-2024-4761 Out of bounds write in V8,,,Microsoft Edge (Chromium-based)
"May 11, 2024","May 11, 2024",CVE-2024-4671,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-4671,Chromium: CVE-2024-4671 Use after free in Visuals,,,Microsoft Edge (Chromium-based)
"May 10, 2024","May 10, 2024",CVE-2024-4559,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-4559,Chromium: CVE-2024-4559 Heap buffer overflow in WebAudio,,,Microsoft Edge (Chromium-based)
"May 10, 2024","May 10, 2024",CVE-2024-4558,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-4558,Chromium: CVE-2024-4558 Use after free in ANGLE,,,Microsoft Edge (Chromium-based)
"May 3, 2024","May 3, 2024",CVE-2024-4368,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-4368,Chromium: CVE-2024-4368 Use after free in Dawn,,,Microsoft Edge (Chromium-based)
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43616,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43616,Microsoft Office Remote Code Execution Vulnerability,Remote Code Execution,Important,Microsoft Office
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43615,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43615,Microsoft OpenSSH for Windows Remote Code Execution Vulnerability,Remote Code Execution,Important,OpenSSH for Windows
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43614,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43614,Microsoft Defender for Endpoint for Linux Spoofing Vulnerability,Spoofing,Important,Microsoft Defender for Endpoint
"Oct 8, 2024","Oct 8, 2024",CVE-2024-43612,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43612,Power BI Report Server Spoofing Vulnerability,Spoofing,Important,Power BI
