,Release date,Product,Platform,Impact,Component,CVE Title,CVE Number,CVE Number (Link),Vector String,CWE
14,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Kernel Local,Windows Kernel Local Elevation of Privilege Vulnerability,CVE-2020-17087,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17087,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:F/RL:O/RC:C,[]
15,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Update Stack,Windows Update Stack Elevation of Privilege Vulnerability,CVE-2020-17077,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17077,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
16,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows USO Core Worker,Windows USO Core Worker Elevation of Privilege Vulnerability,CVE-2020-17075,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17075,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
17,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Information Disclosure,Windows Delivery Optimization,Windows Delivery Optimization Information Disclosure Vulnerability,CVE-2020-17071,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17071,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C,[]
18,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Update Medic Service,Windows Update Medic Service Elevation of Privilege Vulnerability,CVE-2020-17070,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17070,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
19,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Information Disclosure,Windows NDIS,Windows NDIS Information Disclosure Vulnerability,CVE-2020-17069,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17069,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C,[]
20,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Remote Code Execution,Windows GDI+,Windows GDI+ Remote Code Execution Vulnerability,CVE-2020-17068,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17068,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
21,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Win32k,Windows Win32k Elevation of Privilege Vulnerability,CVE-2020-17057,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17057,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
22,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Information Disclosure,Windows Network File System,Windows Network File System Information Disclosure Vulnerability,CVE-2020-17056,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17056,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C,[]
23,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Remote Access,Windows Remote Access Elevation of Privilege Vulnerability,CVE-2020-17055,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17055,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
24,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Denial of Service,Windows Network File System,Windows Network File System Denial of Service Vulnerability,CVE-2020-17047,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17047,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:P/RL:O/RC:C,[]
25,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Denial of Service,Windows Error Reporting,Windows Error Reporting Denial of Service Vulnerability,CVE-2020-17046,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17046,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H/E:P/RL:O/RC:C,[]
26,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Information Disclosure,Windows KernelStream,Windows KernelStream Information Disclosure Vulnerability,CVE-2020-17045,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17045,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C,[]
27,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Remote Access,Windows Remote Access Elevation of Privilege Vulnerability,CVE-2020-17044,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17044,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
28,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Remote Access,Windows Remote Access Elevation of Privilege Vulnerability,CVE-2020-17043,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17043,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
29,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Remote Code Execution,Windows Print Spooler,Windows Print Spooler Remote Code Execution Vulnerability,CVE-2020-17042,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17042,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
30,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Print Configuration,Windows Print Configuration Elevation of Privilege Vulnerability,CVE-2020-17041,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17041,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
31,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Security Feature Bypass,Windows Hyper-V,Windows Hyper-V Security Feature Bypass Vulnerability,CVE-2020-17040,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17040,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L/E:U/RL:O/RC:C,[]
32,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows WalletService,Windows WalletService Elevation of Privilege Vulnerability,CVE-2020-17037,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17037,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
33,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Information Disclosure,Windows Function Discovery SSDP Provider,Windows Function Discovery SSDP Provider Information Disclosure Vulnerability,CVE-2020-17036,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17036,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C,[]
34,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Kernel,Windows Kernel Elevation of Privilege Vulnerability,CVE-2020-17035,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17035,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
35,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Remote Access,Windows Remote Access Elevation of Privilege Vulnerability,CVE-2020-17034,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17034,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
36,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Remote Access,Windows Remote Access Elevation of Privilege Vulnerability,CVE-2020-17033,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17033,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
37,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Remote Access,Windows Remote Access Elevation of Privilege Vulnerability,CVE-2020-17032,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17032,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
38,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Remote Access,Windows Remote Access Elevation of Privilege Vulnerability,CVE-2020-17031,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17031,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
39,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Information Disclosure,Windows MSCTF Server,Windows MSCTF Server Information Disclosure Vulnerability,CVE-2020-17030,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17030,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C,[]
40,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Information Disclosure,Windows Canonical Display Driver,Windows Canonical Display Driver Information Disclosure Vulnerability,CVE-2020-17029,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17029,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C,[]
41,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Remote Access,Windows Remote Access Elevation of Privilege Vulnerability,CVE-2020-17028,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17028,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
42,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Remote Access,Windows Remote Access Elevation of Privilege Vulnerability,CVE-2020-17027,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17027,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
43,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Remote Access,Windows Remote Access Elevation of Privilege Vulnerability,CVE-2020-17026,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17026,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
44,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Remote Access,Windows Remote Access Elevation of Privilege Vulnerability,CVE-2020-17025,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17025,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
45,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Client Side Rendering Print Provider,Windows Client Side Rendering Print Provider Elevation of Privilege Vulnerability,CVE-2020-17024,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17024,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
46,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Print Spooler,Windows Print Spooler Elevation of Privilege Vulnerability,CVE-2020-17014,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17014,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:P/RL:O/RC:C,[]
47,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Port Class Library,Windows Port Class Library Elevation of Privilege Vulnerability,CVE-2020-17011,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17011,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
48,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Error Reporting,Windows Error Reporting Elevation of Privilege Vulnerability,CVE-2020-17007,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17007,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
49,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Information Disclosure,Windows Graphics Component,Windows Graphics Component Information Disclosure Vulnerability,CVE-2020-17004,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17004,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C,[]
50,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Print Spooler,Windows Print Spooler Elevation of Privilege Vulnerability,CVE-2020-17001,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-17001,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:P/RL:O/RC:C,[]
51,"Nov 10, 2020",Windows 10 Version 1809 for x64-based Systems,,Information Disclosure,Windows WalletService,Windows WalletService Information Disclosure Vulnerability,CVE-2020-16999,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16999,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N/E:U/RL:O/RC:C,[]
52,"Oct 13, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Backup Service,Windows Backup Service Elevation of Privilege Vulnerability,CVE-2020-16976,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16976,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:P/RL:O/RC:C,[]
53,"Oct 13, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Backup Service,Windows Backup Service Elevation of Privilege Vulnerability,CVE-2020-16975,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16975,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:P/RL:O/RC:C,[]
54,"Oct 13, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Backup Service,Windows Backup Service Elevation of Privilege Vulnerability,CVE-2020-16974,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16974,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:P/RL:O/RC:C,[]
55,"Oct 13, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Backup Service,Windows Backup Service Elevation of Privilege Vulnerability,CVE-2020-16973,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16973,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:P/RL:O/RC:C,[]
56,"Oct 13, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Backup Service,Windows Backup Service Elevation of Privilege Vulnerability,CVE-2020-16972,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16972,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:P/RL:O/RC:C,[]
57,"Oct 13, 2020",Windows 10 Version 1809 for x64-based Systems,,Remote Code Execution,Windows Camera Codec Pack,Windows Camera Codec Pack Remote Code Execution Vulnerability,CVE-2020-16968,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16968,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H/E:P/RL:O/RC:C,[]
58,"Oct 13, 2020",Windows 10 Version 1809 for x64-based Systems,,Remote Code Execution,Windows Camera Codec Pack,Windows Camera Codec Pack Remote Code Execution Vulnerability,CVE-2020-16967,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16967,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H/E:P/RL:O/RC:C,[]
59,"Dec 8, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Backup Engine,Windows Backup Engine Elevation of Privilege Vulnerability,CVE-2020-16964,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16964,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
60,"Dec 8, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Backup Engine,Windows Backup Engine Elevation of Privilege Vulnerability,CVE-2020-16963,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16963,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
61,"Dec 8, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Backup Engine,Windows Backup Engine Elevation of Privilege Vulnerability,CVE-2020-16962,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16962,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
62,"Dec 8, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Backup Engine,Windows Backup Engine Elevation of Privilege Vulnerability,CVE-2020-16961,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16961,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
63,"Dec 8, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Backup Engine,Windows Backup Engine Elevation of Privilege Vulnerability,CVE-2020-16960,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16960,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
64,"Dec 8, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Backup Engine,Windows Backup Engine Elevation of Privilege Vulnerability,CVE-2020-16959,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16959,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
65,"Dec 8, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Backup Engine,Windows Backup Engine Elevation of Privilege Vulnerability,CVE-2020-16958,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16958,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:U/RL:O/RC:C,[]
66,"Oct 13, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows - User Profile Service,Windows - User Profile Service Elevation of Privilege Vulnerability,CVE-2020-16940,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16940,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:P/RL:O/RC:C,[]
67,"Oct 13, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Backup Service,Windows Backup Service Elevation of Privilege Vulnerability,CVE-2020-16936,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16936,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:P/RL:O/RC:C,[]
68,"Oct 13, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows COM Server,Windows COM Server Elevation of Privilege Vulnerability,CVE-2020-16935,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16935,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:P/RL:O/RC:C,[]
69,"Oct 13, 2020",Windows 10 Version 1809 for x64-based Systems,,Denial of Service,Windows Remote Desktop Protocol (RDP),Windows Remote Desktop Protocol (RDP) Denial of Service Vulnerability,CVE-2020-16927,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16927,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H/E:P/RL:O/RC:C,[]
70,"Oct 13, 2020",Windows 10 Version 1809 for x64-based Systems,,Spoofing,Windows,Windows Spoofing Vulnerability,CVE-2020-16922,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16922,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:L/E:P/RL:O/RC:C,[]
71,"Oct 13, 2020",Windows 10 Version 1809 for x64-based Systems,,Information Disclosure,Windows Text Services Framework,Windows Text Services Framework Information Disclosure Vulnerability,CVE-2020-16921,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16921,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N/E:P/RL:O/RC:C,[]
72,"Oct 13, 2020",Windows 10 Version 1809 for x64-based Systems,,Elevation of Privilege,Windows Application Compatibility Client Library,Windows Application Compatibility Client Library Elevation of Privilege Vulnerability,CVE-2020-16920,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16920,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H/E:P/RL:O/RC:C,[]
73,"Oct 13, 2020",Windows 10 Version 1809 for x64-based Systems,,Information Disclosure,Windows Enterprise App Management Service,Windows Enterprise App Management Service Information Disclosure Vulnerability,CVE-2020-16919,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2020-16919,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N/E:P/RL:O/RC:C,[]
