cwe,relationship,target_cwe
CWE-20: Improper Input Validation,ParentOf,CWE-107: Struts: Unused Validation Form
CWE-20: Improper Input Validation,ParentOf,CWE-108: Struts: Unvalidated Action Form
CWE-20: Improper Input Validation,ParentOf,CWE-109: Struts: Validator Turned Off
CWE-20: Improper Input Validation,ParentOf,CWE-110: Struts: Validator Without Form Field
CWE-20: Improper Input Validation,ParentOf,CWE-111: Direct Use of Unsafe JNI
CWE-20: Improper Input Validation,ParentOf,CWE-112: Missing XML Validation
CWE-20: Improper Input Validation,ParentOf,CWE-113: Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting')
CWE-20: Improper Input Validation,ParentOf,CWE-114: Process Control
CWE-20: Improper Input Validation,ParentOf,CWE-117: Improper Output Neutralization for Logs
CWE-20: Improper Input Validation,ParentOf,CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer
CWE-20: Improper Input Validation,ParentOf,CWE-120: Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CWE-20: Improper Input Validation,ParentOf,CWE-134: Use of Externally-Controlled Format String
CWE-20: Improper Input Validation,ParentOf,CWE-170: Improper Null Termination
CWE-20: Improper Input Validation,ParentOf,CWE-190: Integer Overflow or Wraparound
CWE-20: Improper Input Validation,ParentOf,CWE-466: Return of Pointer Value Outside of Expected Range
CWE-20: Improper Input Validation,ParentOf,CWE-470: Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection')
CWE-20: Improper Input Validation,ParentOf,CWE-785: Use of Path Manipulation Function without Maximum-sized Buffer
CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),ChildOf,CWE-668: Exposure of Resource to Wrong Sphere
CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),ChildOf,CWE-706: Use of Incorrectly-Resolved Name or Reference
CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),ParentOf,CWE-23: Relative Path Traversal
CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),ParentOf,CWE-36: Absolute Path Traversal
CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),CanFollow,CWE-20: Improper Input Validation
CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),CanFollow,CWE-73: External Control of File Name or Path
CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),CanFollow,CWE-172: Encoding Error
CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),MemberOf,CWE-1219: File Handling Issues
CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),ChildOf,CWE-706: Use of Incorrectly-Resolved Name or Reference
CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),ParentOf,CWE-23: Relative Path Traversal
CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),ParentOf,CWE-36: Absolute Path Traversal
CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),ParentOf,CWE-23: Relative Path Traversal
CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),ParentOf,CWE-36: Absolute Path Traversal
CWE-23: Relative Path Traversal,ChildOf,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CWE-23: Relative Path Traversal,ParentOf,CWE-24: Path Traversal: '../filedir'
CWE-23: Relative Path Traversal,ParentOf,CWE-25: Path Traversal: '/../filedir'
CWE-23: Relative Path Traversal,ParentOf,CWE-26: Path Traversal: '/dir/../filename'
CWE-23: Relative Path Traversal,ParentOf,CWE-27: Path Traversal: 'dir/../../filename'
CWE-23: Relative Path Traversal,ParentOf,CWE-28: Path Traversal: '..\filedir'
CWE-23: Relative Path Traversal,ParentOf,CWE-29: Path Traversal: '\..\filename'
CWE-23: Relative Path Traversal,ParentOf,CWE-30: Path Traversal: '\dir\..\filename'
CWE-23: Relative Path Traversal,ParentOf,CWE-31: Path Traversal: 'dir\..\..\filename'
CWE-23: Relative Path Traversal,ParentOf,CWE-32: Path Traversal: '...' (Triple Dot)
CWE-23: Relative Path Traversal,ParentOf,CWE-33: Path Traversal: '....' (Multiple Dot)
CWE-23: Relative Path Traversal,ParentOf,CWE-34: Path Traversal: '....//'
CWE-23: Relative Path Traversal,ParentOf,CWE-35: Path Traversal: '.../...//'
CWE-23: Relative Path Traversal,ChildOf,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CWE-23: Relative Path Traversal,ChildOf,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CWE-24: Path Traversal: '../filedir',ChildOf,CWE-23: Relative Path Traversal
CWE-25: Path Traversal: '/../filedir',ChildOf,CWE-23: Relative Path Traversal
CWE-26: Path Traversal: '/dir/../filename',ChildOf,CWE-23: Relative Path Traversal
CWE-27: Path Traversal: 'dir/../../filename',ChildOf,CWE-23: Relative Path Traversal
CWE-28: Path Traversal: '..\filedir',ChildOf,CWE-23: Relative Path Traversal
CWE-29: Path Traversal: '\..\filename',ChildOf,CWE-23: Relative Path Traversal
CWE-30: Path Traversal: '\dir\..\filename',ChildOf,CWE-23: Relative Path Traversal
CWE-31: Path Traversal: 'dir\..\..\filename',ChildOf,CWE-23: Relative Path Traversal
CWE-32: Path Traversal: ',ChildOf,CWE-23: Relative Path Traversal
CWE-33: Path Traversal: ',ChildOf,CWE-23: Relative Path Traversal
CWE-33: Path Traversal: ',CanFollow,CWE-182: Collapse of Data into Unsafe Value
CWE-34: Path Traversal: ',ChildOf,CWE-23: Relative Path Traversal
CWE-34: Path Traversal: ',CanFollow,CWE-182: Collapse of Data into Unsafe Value
CWE-35: Path Traversal: ',ChildOf,CWE-23: Relative Path Traversal
CWE-35: Path Traversal: ',CanFollow,CWE-182: Collapse of Data into Unsafe Value
CWE-36: Absolute Path Traversal,ChildOf,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CWE-36: Absolute Path Traversal,ParentOf,CWE-37: Path Traversal: '/absolute/pathname/here'
CWE-36: Absolute Path Traversal,ParentOf,CWE-38: Path Traversal: '\absolute\pathname\here'
CWE-36: Absolute Path Traversal,ParentOf,CWE-39: Path Traversal: 'C:dirname'
CWE-36: Absolute Path Traversal,ParentOf,CWE-40: Path Traversal: '\\UNC\share\name\' (Windows UNC Share)
CWE-36: Absolute Path Traversal,ChildOf,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CWE-36: Absolute Path Traversal,ChildOf,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CWE-37: Path Traversal: '/absolute/pathname/here',ChildOf,CWE-160: Improper Neutralization of Leading Special Elements
CWE-37: Path Traversal: '/absolute/pathname/here',ChildOf,CWE-36: Absolute Path Traversal
CWE-38: Path Traversal: '\absolute\pathname\here',ChildOf,CWE-36: Absolute Path Traversal
CWE-39: Path Traversal: 'C:dirname',ChildOf,CWE-36: Absolute Path Traversal
CWE-40: Path Traversal: '\\UNC\share\name\' (Windows UNC Share),ChildOf,CWE-36: Absolute Path Traversal
CWE-41: Improper Resolution of Path Equivalence,ChildOf,CWE-706: Use of Incorrectly-Resolved Name or Reference
CWE-41: Improper Resolution of Path Equivalence,ParentOf,CWE-42: Path Equivalence: 'filename.' (Trailing Dot)
CWE-41: Improper Resolution of Path Equivalence,ParentOf,CWE-44: Path Equivalence: 'file.name' (Internal Dot)
CWE-41: Improper Resolution of Path Equivalence,ParentOf,CWE-46: Path Equivalence: 'filename ' (Trailing Space)
CWE-41: Improper Resolution of Path Equivalence,ParentOf,CWE-47: Path Equivalence: ' filename' (Leading Space)
CWE-41: Improper Resolution of Path Equivalence,ParentOf,CWE-48: Path Equivalence: 'file name' (Internal Whitespace)
CWE-41: Improper Resolution of Path Equivalence,ParentOf,CWE-49: Path Equivalence: 'filename/' (Trailing Slash)
CWE-41: Improper Resolution of Path Equivalence,ParentOf,CWE-50: Path Equivalence: '//multiple/leading/slash'
CWE-41: Improper Resolution of Path Equivalence,ParentOf,CWE-51: Path Equivalence: '/multiple//internal/slash'
CWE-41: Improper Resolution of Path Equivalence,ParentOf,CWE-52: Path Equivalence: '/multiple/trailing/slash//'
CWE-41: Improper Resolution of Path Equivalence,ParentOf,CWE-53: Path Equivalence: '\multiple\\internal\backslash'
CWE-41: Improper Resolution of Path Equivalence,ParentOf,CWE-54: Path Equivalence: 'filedir\' (Trailing Backslash)
CWE-41: Improper Resolution of Path Equivalence,ParentOf,CWE-55: Path Equivalence: '/./' (Single Dot Directory)
CWE-41: Improper Resolution of Path Equivalence,ParentOf,CWE-56: Path Equivalence: 'filedir*' (Wildcard)
CWE-41: Improper Resolution of Path Equivalence,ParentOf,CWE-57: Path Equivalence: 'fakedir/../realdir/filename'
CWE-41: Improper Resolution of Path Equivalence,ParentOf,CWE-58: Path Equivalence: Windows 8.3 Filename
CWE-41: Improper Resolution of Path Equivalence,PeerOf,CWE-1289: Improper Validation of Unsafe Equivalence in Input
CWE-41: Improper Resolution of Path Equivalence,CanFollow,CWE-20: Improper Input Validation
CWE-41: Improper Resolution of Path Equivalence,CanFollow,CWE-73: External Control of File Name or Path
CWE-41: Improper Resolution of Path Equivalence,CanFollow,CWE-172: Encoding Error
CWE-41: Improper Resolution of Path Equivalence,MemberOf,CWE-1219: File Handling Issues
CWE-42: Path Equivalence: 'filename.' (Trailing Dot),ChildOf,CWE-162: Improper Neutralization of Trailing Special Elements
CWE-42: Path Equivalence: 'filename.' (Trailing Dot),ChildOf,CWE-41: Improper Resolution of Path Equivalence
CWE-42: Path Equivalence: 'filename.' (Trailing Dot),ParentOf,CWE-43: Path Equivalence: 'filename....' (Multiple Trailing Dot)
CWE-43: Path Equivalence: 'filename,ChildOf,CWE-163: Improper Neutralization of Multiple Trailing Special Elements
CWE-43: Path Equivalence: 'filename,ChildOf,CWE-42: Path Equivalence: 'filename.' (Trailing Dot)
CWE-44: Path Equivalence: 'file.name' (Internal Dot),ChildOf,CWE-41: Improper Resolution of Path Equivalence
CWE-44: Path Equivalence: 'file.name' (Internal Dot),ParentOf,CWE-45: Path Equivalence: 'file...name' (Multiple Internal Dot)
CWE-45: Path Equivalence: 'file,ChildOf,CWE-165: Improper Neutralization of Multiple Internal Special Elements
CWE-45: Path Equivalence: 'file,ChildOf,CWE-44: Path Equivalence: 'file.name' (Internal Dot)
CWE-46: Path Equivalence: 'filename ' (Trailing Space),ChildOf,CWE-162: Improper Neutralization of Trailing Special Elements
CWE-46: Path Equivalence: 'filename ' (Trailing Space),ChildOf,CWE-41: Improper Resolution of Path Equivalence
CWE-46: Path Equivalence: 'filename ' (Trailing Space),CanPrecede,CWE-289: Authentication Bypass by Alternate Name
CWE-47: Path Equivalence: ' filename' (Leading Space),ChildOf,CWE-41: Improper Resolution of Path Equivalence
CWE-48: Path Equivalence: 'file name' (Internal Whitespace),ChildOf,CWE-41: Improper Resolution of Path Equivalence
CWE-49: Path Equivalence: 'filename/' (Trailing Slash),ChildOf,CWE-162: Improper Neutralization of Trailing Special Elements
CWE-49: Path Equivalence: 'filename/' (Trailing Slash),ChildOf,CWE-41: Improper Resolution of Path Equivalence
CWE-50: Path Equivalence: '//multiple/leading/slash',ChildOf,CWE-161: Improper Neutralization of Multiple Leading Special Elements
CWE-50: Path Equivalence: '//multiple/leading/slash',ChildOf,CWE-41: Improper Resolution of Path Equivalence
CWE-51: Path Equivalence: '/multiple//internal/slash',ChildOf,CWE-41: Improper Resolution of Path Equivalence
CWE-52: Path Equivalence: '/multiple/trailing/slash//',ChildOf,CWE-163: Improper Neutralization of Multiple Trailing Special Elements
CWE-52: Path Equivalence: '/multiple/trailing/slash//',ChildOf,CWE-41: Improper Resolution of Path Equivalence
CWE-52: Path Equivalence: '/multiple/trailing/slash//',CanPrecede,CWE-289: Authentication Bypass by Alternate Name
CWE-53: Path Equivalence: '\multiple\\internal\backslash',ChildOf,CWE-165: Improper Neutralization of Multiple Internal Special Elements
CWE-53: Path Equivalence: '\multiple\\internal\backslash',ChildOf,CWE-41: Improper Resolution of Path Equivalence
CWE-54: Path Equivalence: 'filedir\' (Trailing Backslash),ChildOf,CWE-162: Improper Neutralization of Trailing Special Elements
CWE-54: Path Equivalence: 'filedir\' (Trailing Backslash),ChildOf,CWE-41: Improper Resolution of Path Equivalence
CWE-55: Path Equivalence: '/./' (Single Dot Directory),ChildOf,CWE-41: Improper Resolution of Path Equivalence
CWE-56: Path Equivalence: 'filedir*' (Wildcard),ChildOf,CWE-155: Improper Neutralization of Wildcards or Matching Symbols
CWE-56: Path Equivalence: 'filedir*' (Wildcard),ChildOf,CWE-41: Improper Resolution of Path Equivalence
CWE-57: Path Equivalence: 'fakedir/../realdir/filename',ChildOf,CWE-41: Improper Resolution of Path Equivalence
CWE-58: Path Equivalence: Windows 8.3 Filename,ChildOf,CWE-41: Improper Resolution of Path Equivalence
CWE-59: Improper Link Resolution Before File Access ('Link Following'),ChildOf,CWE-706: Use of Incorrectly-Resolved Name or Reference
CWE-59: Improper Link Resolution Before File Access ('Link Following'),ParentOf,CWE-61: UNIX Symbolic Link (Symlink) Following
CWE-59: Improper Link Resolution Before File Access ('Link Following'),ParentOf,CWE-62: UNIX Hard Link
CWE-59: Improper Link Resolution Before File Access ('Link Following'),ParentOf,CWE-64: Windows Shortcut Following (.LNK)
CWE-59: Improper Link Resolution Before File Access ('Link Following'),ParentOf,CWE-65: Windows Hard Link
CWE-59: Improper Link Resolution Before File Access ('Link Following'),ParentOf,CWE-1386: Insecure Operation on Windows Junction / Mount Point
CWE-59: Improper Link Resolution Before File Access ('Link Following'),CanFollow,CWE-73: External Control of File Name or Path
CWE-59: Improper Link Resolution Before File Access ('Link Following'),CanFollow,CWE-363: Race Condition Enabling Link Following
CWE-59: Improper Link Resolution Before File Access ('Link Following'),MemberOf,CWE-1219: File Handling Issues
CWE-59: Improper Link Resolution Before File Access ('Link Following'),ChildOf,CWE-706: Use of Incorrectly-Resolved Name or Reference
CWE-59: Improper Link Resolution Before File Access ('Link Following'),MemberOf,CWE-1019: Validate Inputs
CWE-61: UNIX Symbolic Link (Symlink) Following,ChildOf,CWE-59: Improper Link Resolution Before File Access ('Link Following')
CWE-62: UNIX Hard Link,ChildOf,CWE-59: Improper Link Resolution Before File Access ('Link Following')
CWE-64: Windows Shortcut Following (.LNK),ChildOf,CWE-59: Improper Link Resolution Before File Access ('Link Following')
CWE-65: Windows Hard Link,ChildOf,CWE-59: Improper Link Resolution Before File Access ('Link Following')
CWE-66: Improper Handling of File Names that Identify Virtual Resources,ChildOf,CWE-706: Use of Incorrectly-Resolved Name or Reference
CWE-66: Improper Handling of File Names that Identify Virtual Resources,ParentOf,CWE-67: Improper Handling of Windows Device Names
CWE-66: Improper Handling of File Names that Identify Virtual Resources,ParentOf,CWE-69: Improper Handling of Windows ::DATA Alternate Data Stream
CWE-66: Improper Handling of File Names that Identify Virtual Resources,ParentOf,CWE-72: Improper Handling of Apple HFS+ Alternate Data Stream Path
CWE-66: Improper Handling of File Names that Identify Virtual Resources,MemberOf,CWE-1219: File Handling Issues
CWE-67: Improper Handling of Windows Device Names,ChildOf,CWE-66: Improper Handling of File Names that Identify Virtual Resources
CWE-69: Improper Handling of Windows ::DATA Alternate Data Stream,ChildOf,CWE-66: Improper Handling of File Names that Identify Virtual Resources
CWE-72: Improper Handling of Apple HFS+ Alternate Data Stream Path,ChildOf,CWE-66: Improper Handling of File Names that Identify Virtual Resources
CWE-73: External Control of File Name or Path,ChildOf,CWE-610: Externally Controlled Reference to a Resource in Another Sphere
CWE-73: External Control of File Name or Path,ChildOf,CWE-642: External Control of Critical State Data
CWE-73: External Control of File Name or Path,ParentOf,CWE-114: Process Control
CWE-73: External Control of File Name or Path,CanPrecede,CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
CWE-73: External Control of File Name or Path,CanPrecede,CWE-41: Improper Resolution of Path Equivalence
CWE-73: External Control of File Name or Path,CanPrecede,CWE-59: Improper Link Resolution Before File Access ('Link Following')
CWE-73: External Control of File Name or Path,CanPrecede,CWE-98: Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion')
CWE-73: External Control of File Name or Path,CanPrecede,CWE-434: Unrestricted Upload of File with Dangerous Type
CWE-73: External Control of File Name or Path,MemberOf,CWE-399: Resource Management Errors
CWE-73: External Control of File Name or Path,MemberOf,CWE-1015: Limit Access
CWE-73: External Control of File Name or Path,ChildOf,CWE-20: Improper Input Validation
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,ChildOf,CWE-707: Improper Neutralization
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,ParentOf,CWE-75: Failure to Sanitize Special Elements into a Different Plane (Special Element Injection)
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,ParentOf,CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection')
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,ParentOf,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,ParentOf,CWE-91: XML Injection (aka Blind XPath Injection)
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,ParentOf,CWE-93: Improper Neutralization of CRLF Sequences ('CRLF Injection')
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,ParentOf,CWE-94: Improper Control of Generation of Code ('Code Injection')
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,ParentOf,CWE-99: Improper Control of Resource Identifiers ('Resource Injection')
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,ParentOf,CWE-943: Improper Neutralization of Special Elements in Data Query Logic
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,ParentOf,CWE-1236: Improper Neutralization of Formula Elements in a CSV File
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,CanFollow,CWE-20: Improper Input Validation
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,CanFollow,CWE-116: Improper Encoding or Escaping of Output
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,MemberOf,CWE-1003: Weaknesses for Simplified Mapping of Published Vulnerabilities
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,ParentOf,CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection')
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,ParentOf,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,ParentOf,CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,ParentOf,CWE-88: Improper Neutralization of Argument Delimiters in a Command ('Argument Injection')
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,ParentOf,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,ParentOf,CWE-91: XML Injection (aka Blind XPath Injection)
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,ParentOf,CWE-94: Improper Control of Generation of Code ('Code Injection')
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,ParentOf,CWE-917: Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection')
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,ParentOf,CWE-1236: Improper Neutralization of Formula Elements in a CSV File
CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component,MemberOf,CWE-1019: Validate Inputs
CWE-75: Failure to Sanitize Special Elements into a Different Plane (Special Element Injection),ChildOf,CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
CWE-75: Failure to Sanitize Special Elements into a Different Plane (Special Element Injection),ParentOf,CWE-76: Improper Neutralization of Equivalent Special Elements
CWE-75: Failure to Sanitize Special Elements into a Different Plane (Special Element Injection),MemberOf,CWE-1019: Validate Inputs
CWE-76: Improper Neutralization of Equivalent Special Elements,ChildOf,CWE-75: Failure to Sanitize Special Elements into a Different Plane (Special Element Injection)
CWE-76: Improper Neutralization of Equivalent Special Elements,MemberOf,CWE-137: Data Neutralization Issues
CWE-76: Improper Neutralization of Equivalent Special Elements,MemberOf,CWE-1019: Validate Inputs
CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),ChildOf,CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),ParentOf,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),ParentOf,CWE-88: Improper Neutralization of Argument Delimiters in a Command ('Argument Injection')
CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),ParentOf,CWE-624: Executable Regular Expression Error
CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),ParentOf,CWE-917: Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection')
CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),ChildOf,CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),MemberOf,CWE-1019: Validate Inputs
CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),ParentOf,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),ParentOf,CWE-88: Improper Neutralization of Argument Delimiters in a Command ('Argument Injection')
CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),ParentOf,CWE-624: Executable Regular Expression Error
CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),ParentOf,CWE-917: Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection')
CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),ParentOf,CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),ParentOf,CWE-88: Improper Neutralization of Argument Delimiters in a Command ('Argument Injection')
CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),ParentOf,CWE-624: Executable Regular Expression Error
CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),ParentOf,CWE-917: Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection')
CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command,ChildOf,CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection')
CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command,CanAlsoBe,CWE-88: Improper Neutralization of Argument Delimiters in a Command ('Argument Injection')
CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command,CanFollow,CWE-184: Incomplete List of Disallowed Inputs
CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command,MemberOf,CWE-137: Data Neutralization Issues
CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command,ChildOf,CWE-74: Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command,MemberOf,CWE-1019: Validate Inputs
CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command,ChildOf,CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection')
CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command,ChildOf,CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection')
